regent;gender ;birth;death;first_year_ruled;last_year_ruled;no_years_ruled
Frederik_10;mand ;1968;NA;2024;NA;NA
Margrethe_2;kvinde;1940;NA ;1972;2024;52
Frederik_9;mand ;1899;1972;1947;1972;25
Christian_10;mand ;1870;1947;1912;1947;35
Frederik_8;mand ;1843;1912;1906;1912;6
Christian_9;mand ;1818;1906;1863;1906;43
Frederik_7 ;mand ;1808;1863;1848;1863;15
Christian_8;mand ;1786;1848;1839;1848;9
Frederik_6;mand ;1768;1839;1808;1839;31
Christian_7;mand ;1749;1808;1766;1808;42
Frederik_5;mand ;1723;1766;1746;1766;20
Christian_6;mand ;1699;1746;1730;1746;16
Frederik_4;mand ;1671;1730;1699;1730;31
Christian_5 ;mand ;1646;1699;1670;1699;29
Frederik_3;mand ;1609;1670;1648;1670;22
Christian_4;mand ;1577;1648;1596;1648;52
Frederik_2;mand ;1534;1588;1559;1588;29
Christian_3 ;mand ;1503;1559;1536;1559;23
Frederik_1;mand ;1471;1533;1523;1533;10
Christian_2;mand ;1481;1559;1513;1523;10
Hans ;mand ;1455;1513;1482;1513;31
Christian_1;mand ;1426;1481;1448;1481;33
Christoffer_3_af_Bayern;mand ;1416;1448;1440;1448;8
Erik_7_af_Pommern;mand ;1382;1459;1396;1439;43
Margrethe_1;kvinde ;1353;1412;1387;1396;9
Oluf_2;mand ;1370;1387;1375;1387;12
Valdemar_4_Atterdag;mand ;1320;1375;1340;1375;35
Christoffer_2;mand ;1276;1332;1329;1332;3
Valdemar_3;mand ;1315;1364;1326;1329;3
Christoffer_2;mand ;1276;1332;1319;1326;7
Erik_6_Menved;mand ;1274;1319;1286;1319;33
Erik_5_Klipping;mand ;1249;1286;1259;1286;27
Christoffer_1;mand ;1219;1259;1252;1259;7
Abel ;mand ;1218;1252;1250;1252;2
Erik_4_Plovpenning ;mand ;1216;1250;1241;1250;9
Valdemar_2_Sejr ;mand ;1170;1241;1202;1241;39
Knud_4;mand ;1163;1202;1182;1202;20
Valdemar_1_den_Store;mand ;1131;1182;1157;1182;25
Svend_3_Grathe;mand ;1125;1157;1146;1157;11
Knud_3;mand ;1146;1157;1146;1157;11
Valdemar_1_den_Store;mand ;1131;1182;1146;1157;11
Erik_3_Lam;mand ;NA;1146;1137;1146;9
Erik_2_Emune;mand ;NA;1137;1134;1137;3
Niels;mand ;NA;1134;1104;1134;30
Erik_1_Ejegod;mand ;1056;1103;1095;1103;8
Oluf_1_Hunger;mand ;NA ;1095;1086;1095;9
Knud_2_den_Hellige;mand ;NA;1086;1080;1086;6
Harald_3_Hen;mand ;NA;1080;1074;1080;6
Svend_2_Estridsen;mand ;NA;1076;1047;1074;27
Magnus_den_gode;mand ;1024;2047;1042;1047;5
Hardeknud ;mand ;1020;1042;1035;1042;7
Knud_1_den_Store;mand ;995;1035;1018;1035;17
Harald_2;mand ;NA ;1012;1014;1018;4
Svend_1_Tveskaeg;mand ;NA ;1014;NA ;1014;NA
Harald_1_Blaatand ;mand ;NA ;987;NA ;987;NA
Gorm_den_Gamle;mand ;NA;958;NA ;958;NA
