regent;gender ;birth;death;first_year_ruled;last_year_ruled
Frederik_10;male;1968;NA;2024;NA
Margrethe_2;female;1940;NA ;1972;2024
Frederik_9;male;1899;1972;1947;1972
Christian_10;male;1870;1947;1912;1947
Frederik_8;male;1843;1912;1906;1912
Christian_9;male;1818;1906;1863;1906
Frederik_7 ;male;1808;1863;1848;1863
Christian_8;male;1786;1848;1839;1848
Frederik_6;male;1768;1839;1808;1839
Christian_7;male;1749;1808;1766;1808
Frederik_5;male;1723;1766;1746;1766
Christian_6;male;1699;1746;1730;1746
Frederik_4;male;1671;1730;1699;1730
Christian_5 ;male;1646;1699;1670;1699
Frederik_3;male;1609;1670;1648;1670
Christian_4;male;1577;1648;1596;1648
Frederik_2;male;1534;1588;1559;1588
Christian_3 ;male;1503;1559;1536;1559
Frederik_1;male;1471;1533;1523;1533
Christian_2;male;1481;1559;1513;1523
Hans ;male;1455;1513;1482;1513
Christian_1;male;1426;1481;1448;1481
Christoffer_3_af_Bayern;male;1416;1448;1440;1448
Erik_7_af_Pommern;male;1382;1459;1396;1439
Margrethe_1;female;1353;1412;1387;1396
Oluf_2;male;1370;1387;1375;1387
Valdemar_4_Atterdag;male;1320;1375;1340;1375
Christoffer_2;male;1276;1332;1329;1332
Valdemar_3;male;1315;1364;1326;1329
Christoffer_2;male;1276;1332;1319;1326
Erik_6_Menved;male;1274;1319;1286;1319
Erik_5_Klipping;male;1249;1286;1259;1286
Christoffer_1;male;1219;1259;1252;1259
Abel ;male;1218;1252;1250;1252
Erik_4_Plovpenning ;male;1216;1250;1241;1250
Valdemar_2_Sejr ;male;1170;1241;1202;1241
Knud_4;male;1163;1202;1182;1202
Valdemar_1_den_Store;male;1131;1182;1157;1182
Svend_3_Grathe;male;1125;1157;1146;1157
Knud_3;male;1146;1157;1146;1157
Valdemar_1_den_Store;male;1131;1182;1146;1157
Erik_3_Lam;male;NA;1146;1137;1146
Erik_2_Emune;male;NA;1137;1134;1137
Niels;male;NA;1134;1104;1134
Erik_1_Ejegod;male;1056;1103;1095;1103
Oluf_1_Hunger;male;NA ;1095;1086;1095
Knud_2_den_Hellige;male;NA;1086;1080;1086
Harald_3_Hen;male;NA;1080;1074;1080
Svend_2_Estridsen;male;NA;1076;1047;1074
Magnus_den_gode;male;1024;2047;1042;1047
Hardeknud ;male;1020;1042;1035;1042
Knud_1_den_Store;male;995;1035;1018;1035
Harald_2;male;NA ;1012;1014;1018
Svend_1_Tveskaeg;male;NA ;1014;NA ;1014
Harald_1_Blaatand ;male;NA ;987;NA ;987
Gorm_den_Gamle;male;NA;958;NA ;958
