regent;gender;birth;death;first_year_ruled;last_year_ruled
Carl_16_Gustaf;male ;1946;NA;1973;NA
Gustraf_6_Adolf;male ;1882;1973;1950;1973
Gustaf_5;male ;1858;1950;1907;1950
Oskar_2;male ;1829;1907;1872;1907
Karl_15;male ;1826;1872;1859;1872
Oskar_1;male ;1799;1859;1844;1859
Karl_14_Johan;male ;1763;1844;1818;1844
Karl_13;male ;1749;1818;1809;1818
Gustav_4_Adolf;male ;1778;1837;1792;1809
Gustav_3;male ;1746;1792;1771;1792
Adolf_Frederik;male ;1710;1771;1751;1771
Frederik_1;male ;1676;1751;1720;1751
Ulrika_Eleonora_den_yngre;female ;1688;1741;1719;1720
Karl_12;male ;1682;1718;1697;1718
Karl_11;male ;1655;1697;1660;1697
Karl_10_Gustav;male ;1622;1660;1654;1660
Kristina ;female ;1626;1689;1632;1654
Gustav_2_Adolf;male ;1594;1632;1611;1632
Karl_9;male ;1550;1611;1604;1611
Sigismund ;male ;1566;1632;1592;1599
Johan_3;male ;1537;1592;1568;1592
Erik_14;male ;1533;1577;1560;1568
Gustav_Vasa ;male ;1496;1560;1523;1560
Christian_2;male ;1481;1559;1520;1523
Sten_Sture_den_yngre;male ;NA;1520;1512;1520
Erik_Trolle;male ;1460;NA;1512;1512
Svante_Nilsson;male ;1460;1511;1504;1511
Sten_Sture_den_aaldre;male ;1440;1503;1501;1503
Hans;male ;1455;1513;1497;1501
Sten_Sture_den_aaldre;male ;1440;1503;1470;1497
Karl_Knutsson;male ;NA;1470;1467;1470
Erik_Axelsson;male ;1415;1481;1466;1467
Joons_Bengtsson;male ;1417;1467;1465;1466
Kettil_Karlsson;male ;1433;1465;1465;1465
Karl_Knutsson;male ;NA;1470;1464;1465
Kettil_Karlsson;male ;1433;1465;1464;1464
Kristian_1;male ;1426;1465;1457;1464
Joons_Bengtsson;male ;1417;1467;1457;1457
Erik_Axelsson;male ;1415;1481;1457;1457
Karl_Knutsson;male ;NA;1470;1448;1457
Bengt_Joonsson;male ;NA;NA;1448;1448
Nils_Joonsson;male ;NA;1450;1448;1448
Kristofer_av_Bayern;male ;1416;1448;1440;1448
Karl_Knutsson;male ;NA;1470;1438;1440
Engelbrekt_Engelbrektsson;male ;NA;1436;1435;1436
Erik_av_Pommern;male ;1382;1459;1436;1439
Erik_av_Pommern;male ;1382;1459;1396;1435
Margareta;female ;1353;1412;1389;1412
Albrekt_av_Mecklenburg ;male ;1338;1412;1363;1389
Haakan_Magnusson;male ;1340;1380;1362;1364
Erik_Magnussen;male ;1339;1359;1356;1359
Magnus_Eriksson;male ;1316;1374;1319;1364
Mats_Kettilmundsson;male ;NA;1326;1318;1319
Birger_Magnusson;male ;1280;1321;1290;1318
Magnus_Ladulaas;male ;1240;1290;1275;1290
Valdemar_Birgersson;male ;1240;1302;1250;1275
Birger_jarl;male ;1200;1266;1248;1266
Erik_laaspe_och_halte;male ;1216;1250;1234;1250
Knut_Holmgersson;male ;NA;1234;1229;1234
Erik_laaspe_och_halte;male ;1216;1250;1222;1229
Johan_Sverkersson;male ;1201;1222;1216;1222
Erik_Knutsson;male ;NA;1216;1208;1216
Sverker_den_yngre_Karlsson;male ;NA;1210;1196;1208
Knut_Eriksson;male ;NA;1196;1167;1196
Kol_Sverkersson;male ;NA;NA;1167;1173
Burislev_Sverkersson;male ;NA;NA;1167;1173
Karl_Sverkersson;male ;NA;1167;1161;1167
Magnus_Henriksson;male ;NA;1161;1660;1661
Erik_den_hellige;male ;NA;1160;1150;1160
Sverker_den_aaldre;male ;NA;1156;1130;1156
Magnus_den_Starke;male ;NA;1134;NA;NA
Ragnvald_Knaphovde;male ;NA;NA;NA;NA
Halsten;male ;NA;NA;1079;1081
Inge_den_yngre;male ;NA;1105;1079;1105
Haakan_Roode;male ;NA;NA;1070;1079
Anund_Gaardske;male ;NA;NA;1070;1075
Halsten;male ;NA;NA;1067;1070
Stenkil;male ;NA;1066;1060;1066
Emund_den_gamle;male ;NA;1060;1050;1060
Anund_Jakob;male ;NA;1050;1022;1050
Olof_Skootkonung;male ;NA;1022;995;1022
Erik_Segersaall;male ;NA;995;970;995
